"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06000","California","32,867,431","0","6,368,296","55,023","19.4","0.2","26,499,135","55,023","80.6","0.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06000","California","32,873,177","0","6,580,078","65,665","20.0","0.2","26,293,099","65,665","80.0","0.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06000","California","32,714,713","0","6,603,169","71,813","20.2","0.2","26,111,543","71,813","79.8","0.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06000","California","32,504,288","0","6,720,279","68,844","20.7","0.2","25,784,009","68,844","79.3","0.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06000","California","32,316,118","0","6,491,176","51,454","20.1","0.2","25,824,942","51,454","79.9","0.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06000","California","32,125,506","0","6,166,623","52,391","19.2","0.2","25,958,883","52,391","80.8","0.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06000","California","32,068,429","0","6,465,408","218,442","20.2","0.7","25,603,021","245,687","79.8","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06000","California","32,004,569","0","6,829,725","190,570","21.3","0.6","25,174,844","289,669","78.7","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06001","Alameda County, CA","1,356,907","0","195,952","8,316","14.4","0.6","1,160,955","8,316","85.6","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06001","Alameda County, CA","1,350,205","0","199,060","8,431","14.7","0.6","1,151,145","8,431","85.3","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06001","Alameda County, CA","1,330,411","0","197,333","9,030","14.8","0.7","1,133,078","9,030","85.2","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06001","Alameda County, CA","1,322,865","0","199,327","8,710","15.1","0.7","1,123,539","8,710","84.9","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06001","Alameda County, CA","1,327,221","0","194,799","8,374","14.7","0.6","1,132,422","8,374","85.3","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06001","Alameda County, CA","1,310,473","0","173,312","8,004","13.2","0.6","1,137,161","8,004","86.8","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06001","Alameda County, CA","1,302,459","0","187,591","16,451","14.4","1.3","1,114,868","18,787","85.6","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06001","Alameda County, CA","1,287,699","0","208,082","17,300","16.2","1.3","1,079,616","18,940","83.8","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06003","Alpine County, CA","936","0","166","17","17.7","1.8","770","17","82.3","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06003","Alpine County, CA","939","0","174","17","18.6","1.8","764","17","81.4","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06003","Alpine County, CA","935","0","164","18","17.6","1.9","770","18","82.4","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06003","Alpine County, CA","1,029","0","161","18","15.7","1.7","867","18","84.3","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06003","Alpine County, CA","908","0","147","15","16.2","1.7","761","15","83.8","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06003","Alpine County, CA","939","0","187","20","20.0","2.1","751","20","80.0","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06003","Alpine County, CA","927","0","237","32","25.6","3.5","690","34","74.4","3.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06003","Alpine County, CA","1,018","0","254","38","25.0","3.7","764","38","75.0","3.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06005","Amador County, CA","24,687","0","3,946","344","16.0","1.4","20,741","344","84.0","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06005","Amador County, CA","24,939","0","3,804","335","15.3","1.3","21,135","335","84.7","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06005","Amador County, CA","25,488","0","3,837","338","15.1","1.3","21,651","338","84.9","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06005","Amador County, CA","25,895","0","4,097","366","15.8","1.4","21,798","366","84.2","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06005","Amador County, CA","26,203","0","3,911","335","14.9","1.3","22,292","335","85.1","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06005","Amador County, CA","26,757","0","4,370","414","16.3","1.5","22,387","414","83.7","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06005","Amador County, CA","26,900","0","4,306","655","16.0","2.4","22,594","698","84.0","2.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06005","Amador County, CA","27,000","0","4,266","720","15.8","2.7","22,734","727","84.2","2.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06007","Butte County, CA","182,217","0","31,306","2,291","17.2","1.3","150,911","2,291","82.8","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06007","Butte County, CA","183,123","0","35,365","2,420","19.3","1.3","147,758","2,420","80.7","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06007","Butte County, CA","183,806","0","36,467","2,636","19.8","1.4","147,339","2,636","80.2","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06007","Butte County, CA","183,655","0","34,814","2,534","19.0","1.4","148,841","2,534","81.0","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06007","Butte County, CA","183,376","0","32,837","2,303","17.9","1.3","150,539","2,303","82.1","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06007","Butte County, CA","183,179","0","33,607","2,529","18.3","1.4","149,572","2,529","81.7","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06007","Butte County, CA","183,433","0","32,798","4,445","17.9","2.4","150,635","4,822","82.1","2.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06007","Butte County, CA","183,470","0","33,779","4,657","18.4","2.5","149,691","4,801","81.6","2.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06009","Calaveras County, CA","33,402","0","5,418","467","16.2","1.4","27,984","467","83.8","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06009","Calaveras County, CA","33,989","0","5,601","467","16.5","1.4","28,388","467","83.5","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06009","Calaveras County, CA","34,827","0","5,388","481","15.5","1.4","29,439","481","84.5","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06009","Calaveras County, CA","35,544","0","5,868","517","16.5","1.5","29,676","517","83.5","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06009","Calaveras County, CA","37,443","0","5,944","494","15.9","1.3","31,500","494","84.1","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06009","Calaveras County, CA","37,982","0","6,282","582","16.5","1.5","31,701","582","83.5","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06009","Calaveras County, CA","38,157","0","6,743","1,010","17.7","2.6","31,414","1,067","82.3","2.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06009","Calaveras County, CA","38,269","0","7,254","1,103","19.0","2.9","31,015","1,092","81.0","2.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06011","Colusa County, CA","18,447","0","4,493","346","24.4","1.9","13,954","346","75.6","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06011","Colusa County, CA","18,649","0","4,252","335","22.8","1.8","14,397","335","77.2","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06011","Colusa County, CA","18,874","0","4,593","357","24.3","1.9","14,281","357","75.7","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06011","Colusa County, CA","18,854","0","4,560","365","24.2","1.9","14,294","365","75.8","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06011","Colusa County, CA","18,446","0","4,429","360","24.0","2.0","14,018","360","76.0","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06011","Colusa County, CA","18,462","0","4,819","382","26.1","2.1","13,643","382","73.9","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06011","Colusa County, CA","18,477","0","4,841","555","26.2","3.0","13,636","574","73.8","3.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06011","Colusa County, CA","18,751","0","4,596","652","24.5","3.5","14,155","642","75.5","3.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06013","Contra Costa County, CA","930,649","0","130,595","6,454","14.0","0.7","800,054","6,454","86.0","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06013","Contra Costa County, CA","926,202","0","127,668","6,410","13.8","0.7","798,534","6,410","86.2","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06013","Contra Costa County, CA","918,089","0","126,153","6,963","13.7","0.8","791,936","6,963","86.3","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06013","Contra Costa County, CA","912,020","0","129,974","6,677","14.3","0.7","782,047","6,677","85.7","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06013","Contra Costa County, CA","912,524","0","124,193","6,347","13.6","0.7","788,331","6,347","86.4","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06013","Contra Costa County, CA","904,155","0","109,946","6,029","12.2","0.7","794,209","6,029","87.8","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06013","Contra Costa County, CA","905,520","0","139,158","12,862","15.4","1.4","766,362","14,267","84.6","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06013","Contra Costa County, CA","891,040","0","148,752","13,439","16.7","1.5","742,289","14,303","83.3","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06015","Del Norte County, CA","20,526","0","3,493","301","17.0","1.5","17,033","301","83.0","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06015","Del Norte County, CA","20,935","0","3,755","319","17.9","1.5","17,180","319","82.1","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06015","Del Norte County, CA","21,248","0","3,670","317","17.3","1.5","17,578","317","82.7","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06015","Del Norte County, CA","21,240","0","3,437","315","16.2","1.5","17,804","315","83.8","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06015","Del Norte County, CA","21,532","0","4,397","351","20.4","1.6","17,135","351","79.6","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06015","Del Norte County, CA","21,392","0","4,232","358","19.8","1.7","17,161","358","80.2","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06015","Del Norte County, CA","21,359","0","3,514","541","16.5","2.5","17,844","591","83.5","2.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06015","Del Norte County, CA","21,554","0","3,474","582","16.1","2.7","18,080","611","83.9","2.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06017","El Dorado County, CA","149,017","0","19,846","1,498","13.3","1.0","129,171","1,498","86.7","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06017","El Dorado County, CA","149,345","0","20,060","1,466","13.4","1.0","129,286","1,466","86.6","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06017","El Dorado County, CA","151,149","0","20,121","1,554","13.3","1.0","131,028","1,554","86.7","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06017","El Dorado County, CA","152,874","0","20,841","1,594","13.6","1.0","132,033","1,594","86.4","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06017","El Dorado County, CA","155,892","0","20,303","1,473","13.0","0.9","135,589","1,473","87.0","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06017","El Dorado County, CA","155,464","0","22,207","1,809","14.3","1.2","133,257","1,809","85.7","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06017","El Dorado County, CA","156,308","0","26,288","3,386","16.8","2.2","130,020","3,630","83.2","2.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06017","El Dorado County, CA","154,760","0","26,454","3,520","17.1","2.3","128,306","3,579","82.9","2.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06019","Fresno County, CA","837,525","0","169,665","7,513","20.3","0.9","667,860","7,513","79.7","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06019","Fresno County, CA","837,672","0","187,092","7,617","22.3","0.9","650,580","7,617","77.7","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06019","Fresno County, CA","835,695","0","187,161","8,205","22.4","1.0","648,534","8,205","77.6","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06019","Fresno County, CA","827,585","0","181,235","7,937","21.9","1.0","646,350","7,937","78.1","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06019","Fresno County, CA","809,020","0","175,998","7,475","21.8","0.9","633,022","7,475","78.2","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06019","Fresno County, CA","803,343","0","166,354","7,637","20.7","1.0","636,989","7,637","79.3","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06019","Fresno County, CA","803,735","0","148,729","13,333","18.5","1.7","655,006","14,864","81.5","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06019","Fresno County, CA","803,853","0","159,343","14,657","19.8","1.8","644,510","15,589","80.2","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06021","Glenn County, CA","23,600","0","5,330","429","22.6","1.8","18,270","429","77.4","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06021","Glenn County, CA","23,845","0","5,455","418","22.9","1.8","18,390","418","77.1","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06021","Glenn County, CA","24,199","0","5,718","435","23.6","1.8","18,480","435","76.4","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06021","Glenn County, CA","24,182","0","5,457","450","22.6","1.9","18,725","450","77.4","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06021","Glenn County, CA","24,345","0","5,869","446","24.1","1.8","18,476","446","75.9","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06021","Glenn County, CA","24,400","0","5,910","479","24.2","2.0","18,490","479","75.8","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06021","Glenn County, CA","24,399","0","5,602","689","23.0","2.8","18,797","725","77.0","3.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06021","Glenn County, CA","24,551","0","5,571","807","22.7","3.3","18,980","804","77.3","3.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06023","Humboldt County, CA","111,851","0","23,354","1,685","20.9","1.5","88,497","1,685","79.1","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06023","Humboldt County, CA","113,151","0","23,679","1,727","20.9","1.5","89,471","1,727","79.1","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06023","Humboldt County, CA","114,623","0","23,374","1,835","20.4","1.6","91,249","1,835","79.6","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06023","Humboldt County, CA","114,882","0","23,158","1,798","20.2","1.6","91,725","1,798","79.8","1.6"
